Posición,País,IDG,MortalidadMaterna,FecundidadAdos,EnParlamento
56,Mongolia,0.32799999999999996,63,18.7,12.7
57,Ucrania,0.33799999999999997,32,26.1,8.0
57,Tayikistán,0.33799999999999997,65,25.7,17.5
59,Omán,0.34,32,9.3,9.6
59,Armenia,0.34,30,33.2,10.7
62,Costa Rica,0.34600000000000003,40,61.9,38.6
63,Cuba,0.35600000000000004,73,43.9,45.2
64,Maldivas,0.35700000000000004,60,10.2,6.5
64,Kirguistán,0.35700000000000004,71,33.0,23.3
66,Chile,0.36,25,56.0,13.9
66,Tailandia,0.36,48,37.0,15.7
68,Turquía,0.366,20,30.5,14.2
69,Uruguay,0.36700000000000005,29,59.0,12.3
70,Mauricio,0.377,60,31.8,18.8
72,México,0.382,50,65.5,36.0
73,Bandera de,0.387,67,48.7,21.5
74,Argelia,0.391,97,6.1,25.6
75,Sri Lanka,0.402,35,22.1,5.8
76,Ruanda,0.414,340,35.5,51.9
77,Filipinas,0.418,99,46.5,22.1
78,Líbano,0.433,25,15.4,3.1
79,Belice,0.435,53,70.8,13.3
80,Birmania,0.43700000000000006,200,12.0,4.6
81,Georgia,0.43799999999999994,67,39.5,6.6
82,El Salvador,0.441,81,76.2,26.2
83,Ecuador,0.442,110,80.6,32.3
84,Marruecos,0.444,100,10.8,11.0
85,Brasil,0.447,56,76.0,9.6
86,Namibia,0.455,200,54.4,25.0
87,Jamaica,0.45799999999999996,110,69.7,15.5
88,Colombia,0.45899999999999996,92,68.1,13.6
89,Nicaragua,0.461,95,104.9,40.2
90,Tonga,0.462,110,18.0,3.6
90,Sudáfrica,0.462,300,50.4,41.1
92,Bután,0.46399999999999997,180,44.9,13.9
93,Venezuela,0.466,92,87.3,17.0
94,Surinam,0.467,130,34.9,11.8
95,Paraguay,0.47200000000000003,99,46.5,22.1
96,Camboya,0.473,250,32.9,18.1
97,Bolivia,0.474,190,74.7,30.1
98,Burundi,0.47600000000000003,800,20.9,34.9
99,Jordania,0.48200000000000004,63,23.7,11.1
100,Honduras,0.483,100,85.9,19.5
100,Laos,0.483,470,30.1,25.0
102,Botsuana,0.485,160,43.8,7.9
102,Nepal,0.485,170,86.2,33.2
104,Guyana,0.49,280,53.9,31.3
105,Gabón,0.49200000000000005,230,81.0,16.7
106,Indonesia,0.494,220,42.3,18.2
107,Irán,0.496,21,25.0,3.1
108,Panamá,0.503,92,75.9,8.5
109,República Dominicana,0.508,150,103.6,19.1
110,Uganda,0.517,310,126.4,35.0
111,Bangladés,0.518,240,68.2,19.7
112,Suazilandia,0.525,320,67.9,21.9
113,Lesoto,0.534,620,60.8,26.1
114,Guatemala,0.539,120,102.4,13.3
115,Senegal,0.54,370,89.7,41.6
116,Zimbabue,0.544,570,53.4,17.9
117,Catar,0.546,7,15.5,0.1
118,Siria,0.551,70,36.5,12.0
119,Tanzania,0.556,460,128.7,36.0
120,Irak,0.557,63,85.9,25.2
121,Ghana,0.565,350,62.4,8.3
122,Togo,0.5660000000000001,300,54.3,11.1
123,Pakistán,0.5670000000000001,260,28.1,21.1
124,Malaui,0.573,460,105.6,22.3
125,Mozambique,0.5820000000000001,490,124.4,39.2
126,Egipto,0.59,66,40.6,2.2
127,Haití,0.5920000000000001,350,41.3,4.0
128,Gambia Gambia,0.594,360,66.9,7.5
